id,uri,titulo,idLegislatura
55580,https://dadosabertos.camara.leg.br/api/v2/frentes/55580,Frente Parlamentar Mista pelo Combate às Desigualdades,57
54537,https://dadosabertos.camara.leg.br/api/v2/frentes/54537,Frente Parlamentar Mista de Combate às Drogas,57
54566,https://dadosabertos.camara.leg.br/api/v2/frentes/54566,Frente Parlamentar Mista do Desenvolvimento Tecnológico e Cultural do Brasil e Coreia do Sul,57
54558,https://dadosabertos.camara.leg.br/api/v2/frentes/54558,Frente Parlamentar Mista em Apoio aos Objetivos de Desenvolvimento Sustentável da ONU - ODS,57
54560,https://dadosabertos.camara.leg.br/api/v2/frentes/54560,"Frente Parlamentar Mista em Defesa da Criança, do Adolescentes e dos Conselhos Tutelares",57
54559,https://dadosabertos.camara.leg.br/api/v2/frentes/54559,Frente Parlamentar Mista em Defesa da Desoneração da Folha de Pagamento,57
55571,https://dadosabertos.camara.leg.br/api/v2/frentes/55571,Frente Parlamentar Mista de Apoio à Emancipação de Distritos no Brasil,57
55572,https://dadosabertos.camara.leg.br/api/v2/frentes/55572,Frente Parlamentar Mista da Mulher Catadora,57
55566,https://dadosabertos.camara.leg.br/api/v2/frentes/55566,Frente Parlamentar Mista em Defesa da Polícia Rodoviária Federal,57
54557,https://dadosabertos.camara.leg.br/api/v2/frentes/54557,Frente Parlamentar em Defesa da Educação Sem Doutrinação Ideológica - FPDE,57
55567,https://dadosabertos.camara.leg.br/api/v2/frentes/55567,Frente Parlamentar Mista da Indústria de Máquinas e Equipamentos - FPMaq,57
55568,https://dadosabertos.camara.leg.br/api/v2/frentes/55568,Frente Parlamentar Mista da Medicina,57
55569,https://dadosabertos.camara.leg.br/api/v2/frentes/55569,Frente Parlamentar da Economia Popular e Solidária,57
54565,https://dadosabertos.camara.leg.br/api/v2/frentes/54565,Frente Parlamentar do Etanol,57
54563,https://dadosabertos.camara.leg.br/api/v2/frentes/54563,"Frente Parlamentar em Apoio ao Petróleo, Gás e Energia - FREPPEGEN",57
54564,https://dadosabertos.camara.leg.br/api/v2/frentes/54564,Frente Parlamentar pela Defesa e Valorização dos Profissionais de Segurança Pública e da Segurança Privada,57
54507,https://dadosabertos.camara.leg.br/api/v2/frentes/54507,Frente Parlamentar da Endometriose,57
54562,https://dadosabertos.camara.leg.br/api/v2/frentes/54562,Frente Parlamentar em Defesa dos Municípios da Amazônia Legal,57
55570,https://dadosabertos.camara.leg.br/api/v2/frentes/55570,Frente Parlamentar do Desporto Escolar,57
54545,https://dadosabertos.camara.leg.br/api/v2/frentes/54545,Frente Parlamentar Mista da Economia Verde,57
54553,https://dadosabertos.camara.leg.br/api/v2/frentes/54553,Frente Parlamentar Mista em Defesa do Patrimônio Histórico e Cultural Brasileiro,57
54550,https://dadosabertos.camara.leg.br/api/v2/frentes/54550,Frente Parlamentar Mista Brasil - Portugal,57
54548,https://dadosabertos.camara.leg.br/api/v2/frentes/54548,"Frente Parlamentar da Engenharia, Infraestrutura e Desenvolvimento Nacional",57
54555,https://dadosabertos.camara.leg.br/api/v2/frentes/54555,Frente Parlamentar do MERCOSUL,57
54552,https://dadosabertos.camara.leg.br/api/v2/frentes/54552,Frente Parlamentar Mista em Defesa dos Fretadores - FrenFret,57
